Add:         001607A Bypass Cereb Vent to Subgaleal with Autol Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Autologous Tissue Substitute, Open Approach
Add:         00160JA Bypass Cereb Vent to Subgaleal with Synth Sub, Open Approach Bypass Cerebral Ventricle to Subgaleal Space with Synthetic Substitute, Open Approach
Delete:      037Y046 Dilate Up Art, Bifurc, w Drug-elut Intra, Open               Dilation of Upper Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach
Delete:      037Y056 Dilation of Up Art, Bifurc, with 2 Drug-elut, Open Approach  Dilation of Upper Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach
Delete:      037Y066 Dilation of Up Art, Bifurc, with 3 Drug-elut, Open Approach  Dilation of Upper Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach
Delete:      037Y076 Dilation of Up Art, Bifurc, with 4 Drug-elut, Open Approach  Dilation of Upper Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach
Delete:      037Y0D6 Dilation of Up Art, Bifurc, with Intralum Dev, Open Approach Dilation of Upper Artery, Bifurcation, with Intraluminal Device, Open Approach
Delete:      037Y0E6 Dilate of Up Art, Bifurc, with 2 Intralum Dev, Open Approach Dilation of Upper Artery, Bifurcation, with Two Intraluminal Devices, Open Approach
Delete:      037Y0F6 Dilate of Up Art, Bifurc, with 3 Intralum Dev, Open Approach Dilation of Upper Artery, Bifurcation, with Three Intraluminal Devices, Open Approach
Delete:      037Y0G6 Dilate Up Art, Bifurc, w 4+ Intralum Dev, Open               Dilation of Upper Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach
Delete:      037Y0Z6 Dilation of Upper Artery, Bifurcation, Open Approach         Dilation of Upper Artery, Bifurcation, Open Approach
Delete:      037Y346 Dilate Up Art, Bifurc, w Drug-elut Intra, Perc               Dilation of Upper Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Delete:      037Y356 Dilation of Up Art, Bifurc, with 2 Drug-elut, Perc Approach  Dilation of Upper Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037Y366 Dilation of Up Art, Bifurc, with 3 Drug-elut, Perc Approach  Dilation of Upper Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037Y376 Dilation of Up Art, Bifurc, with 4 Drug-elut, Perc Approach  Dilation of Upper Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Delete:      037Y3D6 Dilation of Up Art, Bifurc, with Intralum Dev, Perc Approach Dilation of Upper Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach
Delete:      037Y3E6 Dilate of Up Art, Bifurc, with 2 Intralum Dev, Perc Approach Dilation of Upper Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Delete:      037Y3F6 Dilate of Up Art, Bifurc, with 3 Intralum Dev, Perc Approach Dilation of Upper Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Delete:      037Y3G6 Dilate Up Art, Bifurc, w 4+ Intralum Dev, Perc               Dilation of Upper Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Delete:      037Y3Z6 Dilation of Upper Artery, Bifurcation, Percutaneous Approach Dilation of Upper Artery, Bifurcation, Percutaneous Approach
Delete:      037Y446 Dilate Up Art, Bifurc, w Drug-elut Intra, Perc Endo          Dilation of Upper Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037Y456 Dilate Up Art, Bifurc, w 2 Drug-elut, Perc Endo              Dilation of Upper Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Y466 Dilate Up Art, Bifurc, w 3 Drug-elut, Perc Endo              Dilation of Upper Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Y476 Dilate Up Art, Bifurc, w 4 Drug-elut, Perc Endo              Dilation of Upper Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Y4D6 Dilate Up Art, Bifurc, w Intralum Dev, Perc Endo             Dilation of Upper Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Delete:      037Y4E6 Dilate Up Art, Bifurc, w 2 Intralum Dev, Perc Endo           Dilation of Upper Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Y4F6 Dilate Up Art, Bifurc, w 3 Intralum Dev, Perc Endo           Dilation of Upper Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Y4G6 Dilate Up Art, Bifurc, w 4+ Intralum Dev, Perc Endo          Dilation of Upper Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Delete:      037Y4Z6 Dilation of Upper Artery, Bifurcation, Perc Endo Approach    Dilation of Upper Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C00Z6 Extirpate matter from R Int Mamm Art, Bifurc, Open           Extirpation of Matter from Right Internal Mammary Artery, Bifurcation, Open Approach
Delete:      03C03Z6 Extirpate matter from R Int Mamm Art, Bifurc, Perc           Extirpation of Matter from Right Internal Mammary Artery, Bifurcation, Percutaneous Approach
Delete:      03C04Z6 Extirpate matter from R Int Mamm Art, Bifurc, Perc Endo      Extirpation of Matter from Right Internal Mammary Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C10Z6 Extirpate matter from L Int Mamm Art, Bifurc, Open           Extirpation of Matter from Left Internal Mammary Artery, Bifurcation, Open Approach
Delete:      03C13Z6 Extirpate matter from L Int Mamm Art, Bifurc, Perc           Extirpation of Matter from Left Internal Mammary Artery, Bifurcation, Percutaneous Approach
Delete:      03C14Z6 Extirpate matter from L Int Mamm Art, Bifurc, Perc Endo      Extirpation of Matter from Left Internal Mammary Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C20Z6 Extirpation of Matter from Innom Art, Bifurc, Open Approach  Extirpation of Matter from Innominate Artery, Bifurcation, Open Approach
Delete:      03C23Z6 Extirpation of Matter from Innom Art, Bifurc, Perc Approach  Extirpation of Matter from Innominate Artery, Bifurcation, Percutaneous Approach
Delete:      03C24Z6 Extirpate matter from Innom Art, Bifurc, Perc Endo           Extirpation of Matter from Innominate Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C30Z6 Extirpate matter from R Subclav Art, Bifurc, Open            Extirpation of Matter from Right Subclavian Artery, Bifurcation, Open Approach
Delete:      03C33Z6 Extirpate matter from R Subclav Art, Bifurc, Perc            Extirpation of Matter from Right Subclavian Artery, Bifurcation, Percutaneous Approach
Delete:      03C34Z6 Extirpate matter from R Subclav Art, Bifurc, Perc Endo       Extirpation of Matter from Right Subclavian Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C40Z6 Extirpate matter from L Subclav Art, Bifurc, Open            Extirpation of Matter from Left Subclavian Artery, Bifurcation, Open Approach
Delete:      03C43Z6 Extirpate matter from L Subclav Art, Bifurc, Perc            Extirpation of Matter from Left Subclavian Artery, Bifurcation, Percutaneous Approach
Delete:      03C44Z6 Extirpate matter from L Subclav Art, Bifurc, Perc Endo       Extirpation of Matter from Left Subclavian Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C50Z6 Extirpate of Matter from R Axilla Art, Bifurc, Open Approach Extirpation of Matter from Right Axillary Artery, Bifurcation, Open Approach
Delete:      03C53Z6 Extirpate of Matter from R Axilla Art, Bifurc, Perc Approach Extirpation of Matter from Right Axillary Artery, Bifurcation, Percutaneous Approach
Delete:      03C54Z6 Extirpate matter from R Axilla Art, Bifurc, Perc Endo        Extirpation of Matter from Right Axillary Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C60Z6 Extirpate of Matter from L Axilla Art, Bifurc, Open Approach Extirpation of Matter from Left Axillary Artery, Bifurcation, Open Approach
Delete:      03C63Z6 Extirpate of Matter from L Axilla Art, Bifurc, Perc Approach Extirpation of Matter from Left Axillary Artery, Bifurcation, Percutaneous Approach
Delete:      03C64Z6 Extirpate matter from L Axilla Art, Bifurc, Perc Endo        Extirpation of Matter from Left Axillary Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C70Z6 Extirpate of Matter from R Brach Art, Bifurc, Open Approach  Extirpation of Matter from Right Brachial Artery, Bifurcation, Open Approach
Delete:      03C73Z6 Extirpate of Matter from R Brach Art, Bifurc, Perc Approach  Extirpation of Matter from Right Brachial Artery, Bifurcation, Percutaneous Approach
Delete:      03C74Z6 Extirpate matter from R Brach Art, Bifurc, Perc Endo         Extirpation of Matter from Right Brachial Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C80Z6 Extirpate of Matter from L Brach Art, Bifurc, Open Approach  Extirpation of Matter from Left Brachial Artery, Bifurcation, Open Approach
Delete:      03C83Z6 Extirpate of Matter from L Brach Art, Bifurc, Perc Approach  Extirpation of Matter from Left Brachial Artery, Bifurcation, Percutaneous Approach
Delete:      03C84Z6 Extirpate matter from L Brach Art, Bifurc, Perc Endo         Extirpation of Matter from Left Brachial Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03C90Z6 Extirpate of Matter from R Ulnar Art, Bifurc, Open Approach  Extirpation of Matter from Right Ulnar Artery, Bifurcation, Open Approach
Delete:      03C93Z6 Extirpate of Matter from R Ulnar Art, Bifurc, Perc Approach  Extirpation of Matter from Right Ulnar Artery, Bifurcation, Percutaneous Approach
Delete:      03C94Z6 Extirpate matter from R Ulnar Art, Bifurc, Perc Endo         Extirpation of Matter from Right Ulnar Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CA0Z6 Extirpate of Matter from L Ulnar Art, Bifurc, Open Approach  Extirpation of Matter from Left Ulnar Artery, Bifurcation, Open Approach
Delete:      03CA3Z6 Extirpate of Matter from L Ulnar Art, Bifurc, Perc Approach  Extirpation of Matter from Left Ulnar Artery, Bifurcation, Percutaneous Approach
Delete:      03CA4Z6 Extirpate matter from L Ulnar Art, Bifurc, Perc Endo         Extirpation of Matter from Left Ulnar Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CB0Z6 Extirpate of Matter from R Radial Art, Bifurc, Open Approach Extirpation of Matter from Right Radial Artery, Bifurcation, Open Approach
Delete:      03CB3Z6 Extirpate of Matter from R Radial Art, Bifurc, Perc Approach Extirpation of Matter from Right Radial Artery, Bifurcation, Percutaneous Approach
Delete:      03CB4Z6 Extirpate matter from R Radial Art, Bifurc, Perc Endo        Extirpation of Matter from Right Radial Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CC0Z6 Extirpate of Matter from L Radial Art, Bifurc, Open Approach Extirpation of Matter from Left Radial Artery, Bifurcation, Open Approach
Delete:      03CC3Z6 Extirpate of Matter from L Radial Art, Bifurc, Perc Approach Extirpation of Matter from Left Radial Artery, Bifurcation, Percutaneous Approach
Delete:      03CC4Z6 Extirpate matter from L Radial Art, Bifurc, Perc Endo        Extirpation of Matter from Left Radial Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CD0Z6 Extirpation of Matter from R Hand Art, Bifurc, Open Approach Extirpation of Matter from Right Hand Artery, Bifurcation, Open Approach
Delete:      03CD3Z6 Extirpation of Matter from R Hand Art, Bifurc, Perc Approach Extirpation of Matter from Right Hand Artery, Bifurcation, Percutaneous Approach
Delete:      03CD4Z6 Extirpate matter from R Hand Art, Bifurc, Perc Endo          Extirpation of Matter from Right Hand Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CF0Z6 Extirpation of Matter from L Hand Art, Bifurc, Open Approach Extirpation of Matter from Left Hand Artery, Bifurcation, Open Approach
Delete:      03CF3Z6 Extirpation of Matter from L Hand Art, Bifurc, Perc Approach Extirpation of Matter from Left Hand Artery, Bifurcation, Percutaneous Approach
Delete:      03CF4Z6 Extirpate matter from L Hand Art, Bifurc, Perc Endo          Extirpation of Matter from Left Hand Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CG0Z6 Extirpate matter from Intracran Art, Bifurc, Open            Extirpation of Matter from Intracranial Artery, Bifurcation, Open Approach
Delete:      03CG3Z6 Extirpate matter from Intracran Art, Bifurc, Perc            Extirpation of Matter from Intracranial Artery, Bifurcation, Percutaneous Approach
Delete:      03CG4Z6 Extirpate matter from Intracran Art, Bifurc, Perc Endo       Extirpation of Matter from Intracranial Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CH0Z6 Extirpate matter from R Com Carotid, Bifurc, Open            Extirpation of Matter from Right Common Carotid Artery, Bifurcation, Open Approach
Delete:      03CH3Z6 Extirpate matter from R Com Carotid, Bifurc, Perc            Extirpation of Matter from Right Common Carotid Artery, Bifurcation, Percutaneous Approach
Delete:      03CH4Z6 Extirpate matter from R Com Carotid, Bifurc, Perc Endo       Extirpation of Matter from Right Common Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CJ0Z6 Extirpate matter from L Com Carotid, Bifurc, Open            Extirpation of Matter from Left Common Carotid Artery, Bifurcation, Open Approach
Delete:      03CJ3Z6 Extirpate matter from L Com Carotid, Bifurc, Perc            Extirpation of Matter from Left Common Carotid Artery, Bifurcation, Percutaneous Approach
Delete:      03CJ4Z6 Extirpate matter from L Com Carotid, Bifurc, Perc Endo       Extirpation of Matter from Left Common Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CK0Z6 Extirpate matter from R Int Carotid, Bifurc, Open            Extirpation of Matter from Right Internal Carotid Artery, Bifurcation, Open Approach
Delete:      03CK3Z6 Extirpate matter from R Int Carotid, Bifurc, Perc            Extirpation of Matter from Right Internal Carotid Artery, Bifurcation, Percutaneous Approach
Delete:      03CK4Z6 Extirpate matter from R Int Carotid, Bifurc, Perc Endo       Extirpation of Matter from Right Internal Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CL0Z6 Extirpate matter from L Int Carotid, Bifurc, Open            Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Open Approach
Delete:      03CL3Z6 Extirpate matter from L Int Carotid, Bifurc, Perc            Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Percutaneous Approach
Delete:      03CL4Z6 Extirpate matter from L Int Carotid, Bifurc, Perc Endo       Extirpation of Matter from Left Internal Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CM0Z6 Extirpate matter from R Ext Carotid, Bifurc, Open            Extirpation of Matter from Right External Carotid Artery, Bifurcation, Open Approach
Delete:      03CM3Z6 Extirpate matter from R Ext Carotid, Bifurc, Perc            Extirpation of Matter from Right External Carotid Artery, Bifurcation, Percutaneous Approach
Delete:      03CM4Z6 Extirpate matter from R Ext Carotid, Bifurc, Perc Endo       Extirpation of Matter from Right External Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CN0Z6 Extirpate matter from L Ext Carotid, Bifurc, Open            Extirpation of Matter from Left External Carotid Artery, Bifurcation, Open Approach
Delete:      03CN3Z6 Extirpate matter from L Ext Carotid, Bifurc, Perc            Extirpation of Matter from Left External Carotid Artery, Bifurcation, Percutaneous Approach
Delete:      03CN4Z6 Extirpate matter from L Ext Carotid, Bifurc, Perc Endo       Extirpation of Matter from Left External Carotid Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CP0Z6 Extirpate of Matter from R Verteb Art, Bifurc, Open Approach Extirpation of Matter from Right Vertebral Artery, Bifurcation, Open Approach
Delete:      03CP3Z6 Extirpate of Matter from R Verteb Art, Bifurc, Perc Approach Extirpation of Matter from Right Vertebral Artery, Bifurcation, Percutaneous Approach
Delete:      03CP4Z6 Extirpate matter from R Verteb Art, Bifurc, Perc Endo        Extirpation of Matter from Right Vertebral Artery, Bifurcation, Percutaneous Endoscopic Approach
Delete:      03CQ0Z6 Extirpate of Matter from L Verteb Art, Bifurc, Open Approach Extirpation of Matter from Left Vertebral Artery, Bifurcation, Open Approach
